Unnamed: 0,DEPTH,DT,GR,NPHI,RHOB,COT
177,2145.8,86.82,23.9435,35.691,2.262,
178,2145.94,88.535,24.134,35.841,2.247,
179,2146,90.25,24.3745,35.991,2.232,
180,2146.09,92.7815,24.615,36.1245,2.219,
181,2146.2,95.313,24.889,36.258,2.206,
182,2146.24,97.877,25.163,36.5765,2.1975,
183,2146.4,100.441,25.758,36.895,2.189,
184,2146.55,101.2985,26.216,37.0355,2.1845,
185,2146.6,102.156,26.2735,37.176,2.18,
186,2146.7,101.1405,26.331,37.0705,2.191,
187,2146.8,100.125,26.263,36.965,2.202,
188,2146.85,97.871,26.195,37.0695,2.2155,
189,2147,95.617,26.0605,37.174,2.229,
190,2147.01,94.505,25.926,37.35,2.23333333333333,
191,2147.16,93.393,26.033,37.526,2.23766666666667,
192,2147.2,92.281,26.336,37.702,2.242,
193,2147.31,92.545,26.639,37.75,2.2415,
194,2147.4,92.809,27.0445,37.798,2.241,
195,2147.46,93.9455,27.45,37.7935,2.2395,
196,2147.6,95.082,27.8475,37.789,2.238,
197,2147.62,95.216,28.245,37.8963333333333,2.23533333333333,
198,2147.77,95.35,28.556,38.0036666666667,2.23266666666667,
199,2147.8,95.484,28.7385,38.111,2.23,
200,2147.92,94.5975,28.921,38.069,2.218,
201,2148,93.711,29.224,38.027,2.206,
202,2148.07,94.242,29.527,37.6425,2.1955,
203,2148.2,94.773,29.9485,37.258,2.185,
204,2148.23,96.018,30.37,36.8633333333333,2.18266666666667,
205,2148.38,97.263,31.278,36.4686666666667,2.18033333333333,
206,2148.4,98.508,31.636,36.074,2.178,
207,2148.53,99.9865,31.994,35.908,2.1805,
208,2148.6,101.465,32.1575,35.742,2.183,
209,2148.68,102.045,32.321,36.625,2.1765,
210,2148.8,102.625,32.279,37.508,2.17,
211,2148.84,103.369666666667,32.237,38.1756666666667,2.159,
212,2148.99,104.114333333333,31.752,38.8433333333333,2.148,
213,2149,104.859,31.395,39.511,2.137,
214,2149.14,106.8945,31.038,39.616,2.13,
215,2149.2,108.93,30.826,39.721,2.123,
216,2149.29,109.9395,30.614,40.2415,2.123,
217,2149.4,110.949,30.5985,40.762,2.123,
218,2149.45,110.4435,30.583,41.6155,2.1165,
219,2149.6,109.938,31.009,42.469,2.11,
220,2149.75,107.885,31.107,42.141,2.111,
221,2149.8,105.832,31.079,41.813,2.112,
222,2149.9,102.385,31.051,40.645,2.13,
223,2150,98.938,31.0485,39.477,2.148,
224,2150.05,95.2505,31.046,38.686,2.153,
225,2150.2,91.563,31.165,37.895,2.158,
226,2150.21,91.9796666666667,31.284,38.2436666666667,2.14533333333333,
227,2150.36,92.3963333333333,32.263,38.5923333333333,2.13266666666667,
228,2150.4,92.813,32.9835,38.941,2.12,
229,2150.51,96.6255,33.704,39.1385,2.1165,
230,2150.6,100.438,34.421,39.336,2.113,
231,2150.66,102.2855,35.138,38.7715,2.135,
232,2150.8,104.133,35.668,38.207,2.157,
233,2150.82,102.903666666667,36.198,38.3606666666667,2.15933333333333,
234,2150.97,101.674333333333,36.073,38.5143333333333,2.16166666666667,
235,2151,100.445,35.441,38.668,2.164,
236,2151.12,99.412,34.809,39.66,2.15,
237,2151.2,98.379,33.922,40.652,2.136,
238,2151.27,100.721,33.035,41.693,2.109,
239,2151.4,103.063,32.055,42.734,2.082,
240,2151.43,105.315333333333,31.075,43.0673333333333,2.06966666666667,
241,2151.58,107.567666666667,29.396,43.4006666666667,2.05733333333333,
242,2151.6,109.82,29.0825,43.734,2.045,
243,2151.73,110.1835,28.769,42.582,2.0705,
