,Unnamed: 0,model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1,Modelo,Poço
218,2,predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596,model_1,dataset_B
219,3,predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101,model_1,dataset_B
220,4,predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596,model_1,dataset_B
221,5,predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101,model_1,dataset_B
222,6,predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596,model_1,dataset_B
223,7,predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101,model_1,dataset_B
224,8,predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596,model_1,dataset_B
225,9,predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101,model_1,dataset_B
226,10,predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596,model_1,dataset_B
227,11,predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101,model_1,dataset_B
228,12,predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596,model_1,dataset_B
229,13,predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101,model_1,dataset_B
230,0,predicted_COT_model_7_XGB,216,0.367,0.323,0.247,0.998,0.901,0.409,0.63,0.784,78,36.111,model_7,dataset_E
231,1,predicted_COT_model_7_FFNN,216,0.367,0.323,0.247,1.08,0.996,0.505,0.713,0.899,107,49.537,model_7,dataset_E
232,2,predicted_COT_model_7_XGB,216,0.367,0.323,0.247,0.998,0.901,0.409,0.63,0.784,78,36.111,model_7,dataset_E
233,3,predicted_COT_model_7_FFNN,216,0.367,0.323,0.247,1.08,0.996,0.505,0.713,0.899,107,49.537,model_7,dataset_E
234,0,predicted_COT_model_6_XGB,143,0.629,0.64,0.185,0.821,0.743,0.298,0.193,0.407,34,23.776,model_6,dataset_A
235,1,predicted_COT_model_6_FFNN,143,0.629,0.64,0.185,0.815,0.712,0.256,0.186,0.373,31,21.678,model_6,dataset_A
236,2,predicted_COT_model_6_XGB,143,0.629,0.64,0.185,0.821,0.743,0.298,0.193,0.407,34,23.776,model_6,dataset_A
237,3,predicted_COT_model_6_FFNN,143,0.629,0.64,0.185,0.815,0.712,0.256,0.186,0.373,31,21.678,model_6,dataset_A
238,4,predicted_COT_model_6_XGB,143,0.629,0.64,0.185,0.821,0.743,0.298,0.193,0.407,34,23.776,model_6,dataset_A
239,5,predicted_COT_model_6_FFNN,143,0.629,0.64,0.185,0.815,0.712,0.256,0.186,0.373,31,21.678,model_6,dataset_A
240,0,predicted_COT_model_5_FFNN,103,0.483,0.47,0.229,0.673,0.621,0.294,0.19,0.362,10,9.709,model_5,dataset_C
241,1,predicted_COT_model_5_XGB,103,0.483,0.47,0.229,0.5,0.49,0.23,0.017,0.066,1,0.971,model_5,dataset_C
242,2,predicted_COT_model_5_FFNN,103,0.483,0.47,0.229,0.673,0.621,0.294,0.19,0.362,10,9.709,model_5,dataset_C
243,3,predicted_COT_model_5_XGB,103,0.483,0.47,0.229,0.5,0.49,0.23,0.017,0.066,1,0.971,model_5,dataset_C
244,4,predicted_COT_model_5_FFNN,103,0.483,0.47,0.229,0.673,0.621,0.294,0.19,0.362,10,9.709,model_5,dataset_C
245,5,predicted_COT_model_5_XGB,103,0.483,0.47,0.229,0.5,0.49,0.23,0.017,0.066,1,0.971,model_5,dataset_C
246,0,predicted_COT_model_1_FFNN,143,0.629,0.64,0.185,1.388,0.985,1.276,0.759,1.508,69,48.252,model_1,dataset_A
247,1,predicted_COT_model_1_XGB,143,0.629,0.64,0.185,0.976,0.769,0.758,0.347,0.847,49,34.266,model_1,dataset_A
248,2,predicted_COT_model_1_FFNN,143,0.629,0.64,0.185,1.388,0.985,1.276,0.759,1.508,69,48.252,model_1,dataset_A
249,3,predicted_COT_model_1_XGB,143,0.629,0.64,0.185,0.976,0.769,0.758,0.347,0.847,49,34.266,model_1,dataset_A
250,4,predicted_COT_model_1_FFNN,143,0.629,0.64,0.185,1.388,0.985,1.276,0.759,1.508,69,48.252,model_1,dataset_A
251,5,predicted_COT_model_1_XGB,143,0.629,0.64,0.185,0.976,0.769,0.758,0.347,0.847,49,34.266,model_1,dataset_A
252,6,predicted_COT_model_1_FFNN,143,0.629,0.64,0.185,1.388,0.985,1.276,0.759,1.508,69,48.252,model_1,dataset_A
253,7,predicted_COT_model_1_XGB,143,0.629,0.64,0.185,0.976,0.769,0.758,0.347,0.847,49,34.266,model_1,dataset_A
254,8,predicted_COT_model_1_FFNN,143,0.629,0.64,0.185,1.388,0.985,1.276,0.759,1.508,69,48.252,model_1,dataset_A
255,9,predicted_COT_model_1_XGB,143,0.629,0.64,0.185,0.976,0.769,0.758,0.347,0.847,49,34.266,model_1,dataset_A
256,10,predicted_COT_model_1_FFNN,143,0.629,0.64,0.185,1.388,0.985,1.276,0.759,1.508,69,48.252,model_1,dataset_A
257,11,predicted_COT_model_1_XGB,143,0.629,0.64,0.185,0.976,0.769,0.758,0.347,0.847,49,34.266,model_1,dataset_A
258,12,predicted_COT_model_1_FFNN,143,0.629,0.64,0.185,1.388,0.985,1.276,0.759,1.508,69,48.252,model_1,dataset_A
259,13,predicted_COT_model_1_XGB,143,0.629,0.64,0.185,0.976,0.769,0.758,0.347,0.847,49,34.266,model_1,dataset_A
260,14,predicted_COT_model_1_FFNN,143,0.629,0.64,0.185,1.388,0.985,1.276,0.759,1.508,69,48.252,model_1,dataset_A
261,15,predicted_COT_model_1_XGB,143,0.629,0.64,0.185,0.976,0.769,0.758,0.347,0.847,49,34.266,model_1,dataset_A
262,0,predicted_COT_model_11_XGB,103,0.483,0.47,0.229,0.817,0.556,1.209,0.334,1.225,17,16.505,model_11,dataset_C
263,1,predicted_COT_model_11_FFNN,103,0.483,0.47,0.229,1.287,0.662,2.894,0.803,2.974,33,32.039,model_11,dataset_C
