DEPTH,COT_anl,COT,CAL,GR,NPHI,PE,RHOB,DT,RT
5202.0,,0.46,12.3,28.06,6.0,3.83,2.68,58.75,12.75
5205.0,,0.134,12.29,44.02,12.0,4.54,2.6,60.32,9.35
5215.7,,0.179,12.24,21.62,17.0,5.17,2.48,64.05,5.82
5228.6,,0.17,12.29,14.42,17.0,4.38,2.41,68.95,1.84
5243.5,,0.251,12.31,29.61,5.0,4.93,2.66,56.77,11.45
5250.0,,0.354,12.26,36.09,14.0,5.07,2.55,62.14,13.84
5252.7,,0.21,12.3,15.24,16.0,5.11,2.47,65.67,3.9
5264.0,,0.374,12.31,40.48,10.0,4.73,2.61,59.52,8.57
5264.0,,0.415,12.31,40.48,10.0,4.73,2.61,59.52,8.57
5264.1,,0.304,12.3,43.78,11.0,4.77,2.6,59.48,8.79
5271.5,,0.126,12.32,35.61,11.0,5.13,2.61,58.82,21.95
5275.5,,0.302,12.28,17.97,18.0,4.67,2.43,65.89,4.6
5301.0,,1.67,12.29,26.77,13.0,5.14,2.52,60.82,14.21
5304.0,,0.131,12.27,15.62,20.0,4.72,2.49,63.76,4.65
5316.0,,0.241,12.27,34.51,13.0,5.06,2.57,60.25,10.3
5329.4,,0.187,12.26,23.92,21.0,5.2,2.4,67.07,8.28
5343.0,,0.162,12.27,27.69,10.0,4.9,2.59,57.34,10.18
5351.0,,0.257,12.28,20.99,14.0,5.08,2.48,64.83,4.84
5351.0,,0.192,12.28,20.99,14.0,5.08,2.48,64.83,4.84
5352.0,,0.799,12.27,16.37,15.0,5.01,2.49,62.3,8.04
5360.9,,0.251,12.25,19.73,23.0,4.85,2.41,66.7,3.64
5365.0,,0.256,12.26,16.29,20.0,4.43,2.54,61.66,3.65
5365.0,,0.239,12.26,16.29,20.0,4.43,2.54,61.66,3.65
5365.0,,0.222,12.26,16.29,20.0,4.43,2.54,61.66,3.65
5376.5,,0.13,12.26,22.92,22.0,4.91,2.4,67.45,1.85
5376.5,,0.172,12.26,22.92,22.0,4.91,2.4,67.45,1.85
5379.0,,0.19,12.27,33.96,10.0,5.11,2.58,58.02,6.18
5382.0,,0.1,12.27,39.98,12.0,4.71,2.57,57.53,7.02
5384.1,,0.172,12.27,26.24,12.0,4.96,2.57,56.36,4.19
5394.0,,0.261,12.26,36.4,14.0,4.99,2.55,57.28,2.77
5400.0,,0.569,12.27,22.15,14.0,4.8,2.56,57.38,3.46
5403.0,,0.277,12.27,28.63,12.0,4.56,2.54,56.91,3.05
5408.0,,0.572,12.27,34.53,8.0,4.98,2.63,54.39,14.88
5408.0,,0.631,12.27,34.53,8.0,4.98,2.63,54.39,14.88
5415.0,,0.707,12.27,38.61,9.0,4.92,2.62,55.35,14.86
5421.0,1.63,0.63,12.27,40.09,9.0,4.87,2.6,56.56,31.77
5421.5,,0.574,12.27,40.09,9.0,4.87,2.6,56.56,31.77
5424.8,,0.766,12.26,59.56,10.0,4.77,2.63,55.98,19.02
5429.0,,0.797,12.26,40.15,10.0,4.88,2.6,56.5,8.5
5429.0,,1.49,12.26,40.15,10.0,4.88,2.6,56.5,8.5
5437.0,,2.37,12.25,57.54,7.0,4.79,2.63,55.09,297.38
5443.0,,2.482,12.26,65.16,11.0,4.4,2.58,66.77,324.09
5448.0,,5.03,12.26,50.42,20.0,4.52,2.43,77.47,23.76
5448.0,,2.348,12.26,50.42,20.0,4.52,2.43,77.47,23.76
5451.0,,0.678,12.26,63.57,7.0,4.53,2.64,56.76,148.46
5454.0,1.88,,,63.57,7.0,4.53,2.64,56.76,148.46
5457.0,1.91,2.23,12.26,91.61,13.0,3.95,2.55,63.29,131.61
5458.1,,3.57,12.26,91.61,13.0,3.95,2.55,63.29,131.61
5466.8,,1.25,12.26,113.01,17.0,4.26,2.52,66.98,80.94
5472.3,,0.562,12.26,84.3,12.0,3.91,2.53,61.59,12.28
5480.4,,0.319,12.27,90.72,10.0,3.66,2.54,60.49,8.14
5486.0,1.63,2.72,12.31,61.34,7.0,4.53,2.65,54.88,15.16
5486.8,,4.49,12.28,76.36,12.0,4.58,2.5,61.68,11.4
5487.0,2.47,4.301,12.28,76.36,12.0,4.58,2.5,61.68,11.4
5493.0,,0.747,12.33,52.53,9.0,4.36,2.61,54.22,16.23
5499.0,,2.848,12.33,85.47,10.0,4.37,2.61,59.71,7.48
5502.0,1.56,0.066,12.28,8.01,15.0,5.01,2.47,58.59,4.66
5524.0,,2.073,12.41,65.35,9.0,4.65,2.58,61.24,23.79
5524.0,,3.53,12.41,65.35,9.0,4.65,2.58,61.24,23.79
5563.6,,7.34,12.31,103.27,24.0,4.16,2.4,69.17,520.4
5563.6,,5.637,12.31,103.27,24.0,4.16,2.4,69.17,520.4
5564.7,,6.54,12.33,100.49,20.0,3.93,2.45,69.91,13.64
5565.0,1.77,4.994,12.33,98.54,18.0,3.88,2.47,76.61,4.81
5568.0,,0.094,12.35,8.45,12.0,4.11,2.6,49.69,9.0
5573.0,,10.819,12.32,102.17,30.0,3.98,2.28,86.25,13.05
5574.0,,0.513,12.33,43.69,7.0,4.36,2.69,57.72,83.36
5577.0,2.15,0.146,12.32,9.73,7.0,4.32,2.57,50.64,22.36
5587.0,,1.03,12.31,95.15,26.0,3.43,2.37,72.32,407.73
5588.0,,8.186,12.32,53.37,16.38,4.47,2.52,69.73,123.61
5588.1,,10.3,12.32,53.37,16.38,4.47,2.52,69.73,123.61
5592.0,2.22,4.705,12.33,130.05,24.0,3.73,2.36,61.98,427.57
5592.0,,5.69,12.33,130.05,24.0,3.73,2.36,61.98,427.57
5597.0,,0.153,12.43,11.58,13.0,4.58,2.56,57.7,3.58
5601.0,,0.789,12.47,91.09,28.0,3.87,2.42,73.48,58.87
5604.5,,0.209,12.54,12.57,8.0,4.87,2.58,51.26,7.44
5605.8,,0.547,12.7,122.57,12.0,4.03,2.62,55.12,35.72
5610.0,,5.044,12.45,82.81,14.0,3.68,2.6,60.23,9.59
5610.9,,4.13,12.46,106.84,13.73,2.86,1.96,61.16,13.1
5611.0,,4.409,12.44,105.14,44.0,2.77,2.0,70.12,18.54
5615.0,,5.33,12.47,116.17,34.0,3.61,2.25,68.29,3.49
5621.5,,3.612,12.74,62.36,12.0,4.47,2.59,69.49,1688.58
5621.5,,3.132,12.74,62.36,12.0,4.47,2.59,69.49,1688.58
5622.0,,0.702,12.79,52.66,9.0,4.57,2.63,78.94,110.67
5629.0,,0.102,12.94,10.97,11.0,4.72,2.6,55.32,6.66
5632.0,,0.229,12.73,43.0,18.0,4.4,2.51,74.11,2.18
5636.0,,0.317,12.99,9.07,14.0,4.72,2.55,56.55,7.04
5645.0,,1.817,12.85,10.98,9.0,4.46,2.6,52.78,65.53
5650.0,,4.026,12.28,55.41,31.0,4.31,2.37,76.81,1.71
5652.0,,1.09,12.31,42.26,20.0,4.05,2.46,72.57,2.25
5652.0,,1.148,12.31,42.26,20.0,4.05,2.46,72.57,2.25
5661.5,,0.057,12.28,9.55,3.0,5.03,2.68,49.34,24.75
5664.5,,0.295,12.36,10.56,7.0,5.2,2.59,47.48,10.19
5675.0,,0.064,12.31,12.9,15.0,3.89,2.57,58.27,9.08
5678.0,,0.381,12.38,43.09,29.0,3.9,2.36,78.34,2.07
5678.0,,0.149,12.38,43.09,29.0,3.9,2.36,78.34,2.07
5681.0,,0.2,12.32,51.7,32.0,3.91,2.31,82.69,4.23
5690.5,,0.353,12.34,10.03,9.0,4.49,2.67,50.05,27.52
5695.0,,0.387,12.2,50.03,32.0,4.75,2.27,70.88,1.88
5700.0,,0.901,12.3,41.29,18.0,4.31,2.5,84.64,1.4
5749.0,,0.067,,48.56,7.07,5.13,2.62,65.12,6.7
5750.0,,0.06,,61.89,9.11,4.7,2.63,69.56,7.3
5751.0,,0.682,,51.78,6.96,4.86,2.59,73.56,15.5
5751.0,,0.1,,51.78,6.96,4.86,2.59,73.56,15.5
5752.0,,0.097,,38.44,3.47,5.83,2.68,45.99,22.05
5754.5,,0.028,,84.16,15.61,4.82,2.6,67.18,642.29
5755.0,,0.176,,87.85,15.04,4.79,2.57,66.86,102.99
5756.0,,0.319,,66.09,19.47,3.98,2.54,69.27,11.29
5756.5,,0.097,,58.4,20.93,3.85,2.42,84.06,52.52
5760.0,,0.011,,82.68,20.0,3.53,2.47,72.7,11.19
5770.0,,0.001,,41.78,11.68,4.97,2.59,60.06,283.13
